ind_id,ind_definition,reportyear,race_eth_code,race_eth_name,geotype,geotypevalue,geoname,county_fips,county_name,region_code,region_name,strata_one_code,strata_one_name,strata_two_code,strata_two_name,numerator,denominator,estimate,ll_95ci,ul_95ci,se,rse,ca_decile,ca_rr,version
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073002401,0024.01,06073,San Diego,09,San Diego,6,Total,,,4573,4573,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073002402,0024.02,06073,San Diego,09,San Diego,6,Total,,,5254,5254,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073002501,0025.01,06073,San Diego,09,San Diego,6,Total,,,5504,5504,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073002502,0025.02,06073,San Diego,09,San Diego,6,Total,,,6264,6264,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073002601,0026.01,06073,San Diego,09,San Diego,6,Total,,,6148,6148,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073002602,0026.02,06073,San Diego,09,San Diego,6,Total,,,4450,4450,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073002702,0027.02,06073,San Diego,09,San Diego,6,Total,,,4367,5180,84.30501931,83.31441936,85.29561925,0.505408136,3.220189602,,1.104443613,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073002703,0027.03,06073,San Diego,09,San Diego,6,Total,,,6900,6900,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073002705,0027.05,06073,San Diego,09,San Diego,6,Total,,,4300,4300,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073002707,0027.07,06073,San Diego,09,San Diego,6,Total,,,5369,5369,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073002708,0027.08,06073,San Diego,09,San Diego,6,Total,,,5689,5689,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073002709,0027.09,06073,San Diego,09,San Diego,6,Total,,,3945,3945,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073002710,0027.10,06073,San Diego,09,San Diego,6,Total,,,4228,4228,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073002711,0027.11,06073,San Diego,09,San Diego,6,Total,,,3200,3200,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073002712,0027.12,06073,San Diego,09,San Diego,6,Total,,,4652,4652,100,100,100,0,,,1.310056771,7/3/17
469,"Percent of Population within 1/2 Mile of Park, Beach, Open Space, or Coastline",2010,9,Total,CT,06073002801,0028.01,06073,San Diego,09,San Diego,6,Total,,,1354,3068,44.13298566,42.37592085,45.89005046,0.896461635,2.031273482,,0.578167167,7/3/17
